Region,Median_Home_Price
Akron,135000
Albany,182000
Albuquerque,167000
Allentown,175000
Atlanta,210000
Augusta,155000
Austin,290000
Bakersfield,215000
Baltimore,248000
Baton Rouge,168000
Birmingham,153000
Boise,260000
Boston,410000
Bridgeport,356000
Buffalo,141000
Cape Coral,209000
Charleston,239000
Charlotte,204000
Chattanooga,158000
Chicago,215000
Cincinnati,158000
Cleveland,128000
Colorado Springs,280000
Columbia,139000
Columbus,180000
Dallas,195000
Dayton,120000
Deltona,191000
Denver,383000
Des Moines,173000
Detroit,157000
Durham,220000
El Paso,124000
Fayetteville,180000
Fresno,250000
Grand Rapids,182000
Greensboro,140000
Greenville,170000
Harrisburg,163000
Hartford,209000
Honolulu,600000
Houston,178000
Indianapolis,125000
Jacksonville,195000
Kansas City,143000
Knoxville,162000
Lakeland,165000
Lancaster,190000
Las Vegas,266000
Little Rock,145000
Los Angeles,634000
Louisville,168000
Madison,250000
Memphis,142000
Miami,255000
Milwaukee,179000
Minneapolis-St. Paul,252000
Modesto,295000
Nashville,247000
New Haven,194000
New Orleans,184000
New York,410000
North Port-Sarasota,234000
Ogden,214000
Oklahoma City,148000
Omaha,180000
Orlando,220000
Oxnard,589000
Palm Bay,185000
Philadelphia,205000
Phoenix,252000
Pittsburgh,138000
Portland,370000
Providence,262000
Raleigh,246000
Richmond,226000
Riverside-San Bernardino,339000
Rochester,137000
Sacramento,375000
Salt Lake City,255000
San Antonio,153000
San Diego,545000
San Francisco,860000
San Jose,1100000
Scranton-Wilkes-Barre,100000
Seattle,430000
Spokane,228000
Springfield,200000
St. Louis,157000
Stockton,335000
Syracuse,112000
Tampa,189000
Toledo,109000
Tucson,198000
Tulsa,146000
Virginia Beach,217000
Washington,375000
Winston-Salem,144000
Worcester,241000
Youngstown,77000
